timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1560607642236,70,1. Get Session ID,200,,Thread Group 1-1,text,true,,844,282,2,2,http://localhost:8080/rest/auth/1/session,69,0,27
1560607642267,41,1. Get Session ID,200,,Thread Group 1-2,text,true,,844,282,2,2,http://localhost:8080/rest/auth/1/session,41,0,0
1560607642339,10,3. Edit Issue,204,,Thread Group 1-2,text,true,,519,393,2,2,http://localhost:8080/rest/api/2/issue/B1901-56,0,0,0
1560607642339,10,3. Edit Issue,204,,Thread Group 1-1,text,true,,519,393,2,2,http://localhost:8080/rest/api/2/issue/B1901-56,0,0,0
1560607642367,21,1. Get Session ID,200,,Thread Group 1-3,text,true,,844,282,1,1,http://localhost:8080/rest/auth/1/session,21,0,0
1560607642389,8,3. Edit Issue,204,,Thread Group 1-3,text,true,,519,393,1,1,http://localhost:8080/rest/api/2/issue/B1901-56,0,0,0
1560607642466,21,1. Get Session ID,200,,Thread Group 1-4,text,true,,844,282,1,1,http://localhost:8080/rest/auth/1/session,21,0,1
1560607642487,7,3. Edit Issue,204,,Thread Group 1-4,text,true,,520,393,1,1,http://localhost:8080/rest/api/2/issue/B1901-56,0,0,0
1560607642566,22,1. Get Session ID,200,,Thread Group 1-5,text,true,,844,282,1,1,http://localhost:8080/rest/auth/1/session,22,0,1
1560607642589,7,3. Edit Issue,204,,Thread Group 1-5,text,true,,520,393,1,1,http://localhost:8080/rest/api/2/issue/B1901-56,0,0,0
1560607642667,23,1. Get Session ID,200,,Thread Group 1-6,text,true,,844,282,1,1,http://localhost:8080/rest/auth/1/session,23,0,0
1560607642690,6,3. Edit Issue,204,,Thread Group 1-6,text,true,,519,393,1,1,http://localhost:8080/rest/api/2/issue/B1901-56,0,0,0
1560607642766,21,1. Get Session ID,200,,Thread Group 1-7,text,true,,844,282,1,1,http://localhost:8080/rest/auth/1/session,20,0,1
1560607642787,5,3. Edit Issue,204,,Thread Group 1-7,text,true,,520,393,1,1,http://localhost:8080/rest/api/2/issue/B1901-56,0,0,0
1560607642866,22,1. Get Session ID,200,,Thread Group 1-8,text,true,,844,282,1,1,http://localhost:8080/rest/auth/1/session,22,0,1
1560607642889,6,3. Edit Issue,204,,Thread Group 1-8,text,true,,519,393,1,1,http://localhost:8080/rest/api/2/issue/B1901-56,0,0,0
1560607642967,24,1. Get Session ID,200,,Thread Group 1-9,text,true,,844,282,1,1,http://localhost:8080/rest/auth/1/session,24,0,0
1560607642992,6,3. Edit Issue,204,,Thread Group 1-9,text,true,,520,393,1,1,http://localhost:8080/rest/api/2/issue/B1901-56,0,0,0
1560607643067,23,1. Get Session ID,200,,Thread Group 1-10,text,true,,844,282,1,1,http://localhost:8080/rest/auth/1/session,23,0,0
1560607643090,7,3. Edit Issue,204,,Thread Group 1-10,text,true,,519,393,1,1,http://localhost:8080/rest/api/2/issue/B1901-56,0,0,0
